"dep_code","genre_candidat-es","voix_moyenne","voix_mediane","taux_voix/inscriptions_moyenne","taux_voix/exprimes_moyenne"
"53",MASCULIN,10084,9957.0,13.30,19.99
"54",FEMININ,8051,5286.5,9.47,14.88
"54",MASCULIN,9781,7220.0,12.14,19.05
"55",FEMININ,6820,742.0,11.43,18.01
"55",MASCULIN,8309,6228.5,11.87,18.25
"56",FEMININ,12963,13243.0,12.64,17.88
"56",MASCULIN,10206,2705.5,9.87,13.91
"57",FEMININ,8147,5797.5,9.76,15.80
"57",MASCULIN,7881,1348.0,9.50,15.79
"58",FEMININ,4425,805.0,5.83,9.08
"58",MASCULIN,10296,9856.0,13.45,20.79
"59",FEMININ,8514,4975.0,9.63,14.84
"59",MASCULIN,9692,5766.0,11.23,18.41
"60",FEMININ,4005,749.0,4.81,7.51
"60",MASCULIN,8945,8491.5,11.06,17.27
"61",FEMININ,7076,5405.0,10.44,15.69
"61",MASCULIN,5817,713.5,8.58,12.73
"62",FEMININ,9233,8794.0,10.15,15.72
"62",MASCULIN,9798,6637.0,10.64,17.06
"63",FEMININ,12778,13950.5,13.52,19.44
"63",MASCULIN,8648,5522.0,9.21,13.49
"64",FEMININ,7484,4251.0,8.47,12.08
"64",MASCULIN,8330,5322.5,9.54,13.56
"65",FEMININ,9756,9110.0,11.17,16.41
"65",MASCULIN,7378,3047.0,8.37,12.22
"66",FEMININ,9933,1937.0,10.77,16.41
"66",MASCULIN,7356,5451.5,7.94,12.10
"67",FEMININ,5933,2185.5,7.04,10.44
"67",MASCULIN,6120,792.5,6.85,10.48
"68",FEMININ,7932,1932.0,8.69,13.67
"68",MASCULIN,5562,1333.5,6.38,10.01
"69",FEMININ,7908,3215.0,9.33,12.75
"69",MASCULIN,8325,6187.0,9.59,13.98
"70",FEMININ,1018,1018.0,1.14,1.68
"70",MASCULIN,10892,8354.0,12.26,18.03
"71",FEMININ,9555,13130.0,12.02,17.94
"71",MASCULIN,9154,9749.5,11.38,17.02
"72",FEMININ,10532,12911.5,13.27,20.49
"72",MASCULIN,8213,2819.0,9.60,14.95
