"genre_candidat-es","voix_moyenne","voix_mediane","taux_voix/inscriptions_moyenne","taux_voix/exprimes_moyenne"
FEMININ,8061,3842.5,9.51,14.26
MASCULIN,8208,3053.0,9.62,14.75
